time,httpCalls,serverTime,importTime,exportTime;
1.552996944,2,0.8219938824999999,6.425976753234863,3.5762786865234375E-4;
2.412063191,3,0.7827611786666665,3.4999052683512373,0.11547406514485678;
92.183900682,123,0.5872840061056908,2.9752254486083975,1.205698261416055;
1.298738599,4,0.29005980225,3.0710697174072266,0.09006261825561523;
0.832514387,2,0.516732764,5.114912986755371,2.384185791015625E-4;
;
82.026878761,107,0.6964855477757012,2.0274848581474516,0.6064098572062556;
1.859112414,3,0.635000559,2.6617844899495444,0.059207280476888016;
230.901286612,66,0.6887454732272729,2.0872065515229186,0.6406415592540396;
0.964405559,3,0.256378491,2.5808016459147134,0.06651878356933594;
1.901262513,3,0.6359381949999999,3.5542647043863935,0.10355313618977866;
2.555012058,3,0.8575122420000001,3.43020757039388,0.10466575622558594;
2.474882275,9,0.15499104900000002,1.5813509623209636,0.10090404086642794;
0.788203362,2,0.412513969,3.5572052001953125,1.1920928955078125E-4;
0.733393218,2,0.369891891,3.3631324768066406,4.76837158203125E-4;
0.806724559,2,0.4936671325,4.312038421630859,3.5762786865234375E-4;
1.224070895,2,0.695819722,6.599545478820801,3.5762786865234375E-4;
2.495942672,9,0.15007221822222225,1.3936360677083333,0.10283788045247395;
2.41682173,3,0.841038531,3.4669240315755205,0.10514259338378906;
1.907071304,3,0.6544295403333333,2.6690165201822915,0.0591278076171875;
0.790593394,2,0.40434775850000004,3.544449806213379,3.5762786865234375E-4;
150.59689145,197,0.6855099733502535,2.2351850712964985,0.615504792499058;
1.425061716,2,0.7795011015,6.466031074523926,2.384185791015625E-4;
0.816970939,3,0.25334354066666664,2.4693806966145835,0.06477038065592447;
0.453882114,1,0.24090116350000002,2.9408931732177734,2.384185791015625E-4;
1.855585233,4,0.3747538295,5.130171775817871,0.438690185546875;
5.407302325,13,0.1691785914615385,1.5662633455716648,0.15664100646972653;
3.316533761,10,0.22143472520000002,1.7222166061401367,0.15108585357666018;
0.432798532,2,0.25739273799999995,2.9659271240234375,4.76837158203125E-4;
0.57493993,2,0.345271962,4.19461727142334,2.384185791015625E-4;
3.186622937,10,0.22065227599999998,1.7121076583862305,0.1455068588256836;
0.441683673,2,0.2588563585,3.4695863723754883,3.5762786865234375E-4;
2.049333714,3,0.6758832626666668,3.4656524658203125,0.10625521341959634;
0.844044542,3,0.24840819733333336,2.594153086344401,0.06810824076334634;
0.551617789,2,0.38013562700000003,3.923654556274414,2.384185791015625E-4;
1.485600036,6,0.1444902975,1.5867153803507488,0.08646647135416667;
2.257313221,4,0.47954861375,5.415737628936768,0.4443526268005371;
1.913027821,3,0.656621083,2.5809605916341147,0.0591278076171875;
1.586397562,5,0.22447382560000004,2.3291587829589844,0.10709762573242188;
;
;
1.555495514,2,1.3722908215,949.3563175201416,2.384185791015625E-4;
2.230628197,4,0.507077631,187.98202276229858,0.1304149627685547;
0.795793759,2,0.41014431100000004,3.9603710174560547,2.384185791015625E-4;
;
1.927857968,3,0.8800108236666666,238.04362614949542,0.10546048482259116;
6.57399449,14,0.2656244475,1.532094819205148,0.16031946454729357;
3.28528763,10,0.22729212699999998,1.8129825592041016,0.14476776123046875;
0.469750561,2,0.28433448250000004,5.289554595947266,3.5762786865234375E-4;
80.942571438,107,0.6838387205700938,1.9836871423453937,0.6087227402446426;
